HRYEAR4,GEREG,HEFAMINC,HES1D,HES8B,HESC3,HESC3A,HESH1,HESHF4,HESP6,HESS2,HESS6,HESSH1,HESSH2,HESSH3,HESSH4,HETS2O,HETS6O,HETS8CO,HETS8O,HETS8OU,HETSSHMF2,HETSSHMF3,HRFS12M1,HRFS12M8,HRFS12MC,HRFS12MD,HRFS30D1,HRFS30D2,HRFS30D5,HRFS30D8,HRNUMHOU,PEDISOUT,PEEDUCA,PEMARITL,PESEX,PRCITSHP,PRDISFLG,PRDTIND1,PREMPNOT,PRMJOCC1,PRTAGE,PRWKSTAT,PTDTRACE
2020,1,10,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,80,-1,-1,90,90,-1,-1,1,1,1,1,1,1,1,1,5,2,42,1,1,4,2,32,1,5,39,5,2
2020,1,10,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,80,-1,-1,90,90,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,1,1,-1,-1,-1,-1,4,-1,2
2020,1,10,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,80,-1,-1,90,90,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,1,1,-1,-1,-1,-1,3,-1,2
2020,1,10,2,3,2,1,3,-1,-1,3,3,-1,-1,-1,-1,80,-1,-1,90,90,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,2,1,-1,-1,-1,-1,1,-1,2
2020,1,5,2,1,2,1,-1,-1,-1,2,-1,-1,-1,-1,-1,100,-1,20,100,50,-1,-1,1,2,-1,2,1,1,-1,1,2,1,34,2,2,4,1,-1,4,-1,59,1,1
2020,1,5,2,1,2,1,-1,-1,-1,2,-1,-1,-1,-1,-1,100,-1,20,100,50,-1,-1,1,2,-1,2,1,1,-1,1,2,2,36,6,1,1,2,22,2,10,33,11,1
2020,1,15,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,130,80,-1,290,100,-1,-1,1,1,-1,1,1,1,-1,1,2,2,44,1,1,1,2,24,1,2,67,2,1
2020,1,15,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,130,80,-1,290,100,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,1,2,1,2,-1,4,-1,66,1,1
2020,1,9,2,3,2,-2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,400,-1,-1,1,1,-1,1,1,1,-1,1,2,2,43,4,1,1,2,4,2,1,58,11,1
2020,1,9,2,3,2,-2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,400,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,4,1,4,2,23,2,10,55,11,1
2020,1,2,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,70,-1,-1,70,60,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,4,2,1,1,-1,4,-1,58,1,1
2020,1,2,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,70,-1,-1,70,60,-1,-1,1,1,-1,1,1,1,-1,1,2,1,39,6,2,1,1,-1,4,-1,71,1,7
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,2,40,1,2,1,2,-1,4,-1,42,1,1
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,2,40,1,1,1,2,22,1,10,47,2,1
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,2,36,6,2,1,2,-1,4,-1,17,1,1
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,-1,-1,-1,2,1,-1,-1,-1,-1,14,-1,1
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,-1,-1,-1,1,1,-1,-1,-1,-1,8,-1,1
2020,1,6,2,3,1,-1,3,2,2,2,3,2,2,2,2,200,-1,-1,450,400,-1,-1,2,4,1,3,1,2,1,2,6,-1,-1,-1,1,1,-1,-1,-1,-1,3,-1,1
2020,3,9,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,130,30,-1,60,60,-1,-1,1,1,-1,1,1,1,-1,1,2,2,42,3,2,1,1,-1,4,-1,55,1,1
2020,3,9,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,130,30,-1,60,60,-1,-1,1,1,-1,1,1,1,-1,1,2,2,42,6,1,1,1,42,1,5,29,2,1
2020,3,6,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,50,-1,-1,50,50,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,4,1,1,2,-1,4,-1,66,1,1
2020,3,6,2,-1,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,4,2,1,2,-1,4,-1,85,1,1
2020,3,13,2,1,1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,70,-1,50,90,60,-1,-1,2,3,-1,3,1,1,-1,1,4,2,40,6,1,1,1,-1,4,-1,48,1,1
2020,3,13,2,1,1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,70,-1,50,90,60,-1,-1,2,3,-1,3,1,1,-1,1,4,2,39,4,1,1,2,38,2,3,45,11,1
2020,3,13,2,1,1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,70,-1,50,90,60,-1,-1,2,3,-1,3,1,1,-1,1,4,2,39,6,2,1,1,-1,4,-1,19,1,1
2020,3,13,2,1,1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,70,-1,50,90,60,-1,-1,2,3,-1,3,1,1,-1,1,4,2,39,6,1,1,1,-1,2,-1,20,11,1
2020,3,8,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,150,-1,-1,130,130,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,4,1,1,2,-1,4,-1,65,1,1
2020,3,11,2,1,2,1,2,-1,2,2,1,2,2,2,2,-1,-1,30,0,100,-1,-1,3,3,2,4,2,3,2,3,3,2,39,1,1,4,2,4,1,7,31,2,2
2020,3,11,2,1,2,1,2,-1,2,2,1,2,2,2,2,-1,-1,30,0,100,-1,-1,3,3,2,4,2,3,2,3,3,2,39,1,2,1,2,-1,4,-1,31,1,1
2020,3,11,2,1,2,1,2,-1,2,2,1,2,2,2,2,-1,-1,30,0,100,-1,-1,3,3,2,4,2,3,2,3,3,-1,-1,-1,1,1,-1,-1,-1,-1,8,-1,1
2020,3,8,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,80,10,-1,90,40,-1,-1,1,2,-1,2,1,1,-1,1,1,2,34,3,2,1,2,-1,4,-1,76,1,1
